matchId,playerExternalId,runs,wickets,catches,stumpings,runOuts
nz-eng-odi-1-2025,harry-brook,85,0,1,0,0
nz-eng-odi-1-2025,joe-root,45,0,0,0,0
nz-eng-odi-1-2025,jos-buttler,32,0,2,1,0
nz-eng-odi-1-2025,jofra-archer,8,4,0,0,0
nz-eng-odi-1-2025,ben-duckett,67,0,1,0,0
nz-eng-odi-1-2025,sam-curran,23,2,1,0,0
nz-eng-odi-1-2025,kane-williamson,102,0,0,0,0
nz-eng-odi-1-2025,mitchell-santner,34,3,0,0,0
nz-eng-odi-1-2025,tom-latham,56,0,3,0,1
nz-eng-odi-1-2025,matt-henry,12,3,1,0,0
nz-eng-odi-1-2025,rachin-ravindra,41,0,2,0,0
nz-eng-odi-1-2025,daryl-mitchell,29,0,1,0,0
